,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
346,인천광역시 연수구 함박뫼로 162,(연수동),2,0,A02,A0202,A02020700,2767612,12,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/11/2780711_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2780711_image2_1.jpg,126.6850185,37.4218825,6,2.02212E+13,8,,대학공원,21935
347,인천광역시 미추홀구 인하로 100,(용현동),2,0,A02,A0201,A02010700,1617815,12,2.01204E+13,http://tong.visitkorea.or.kr/cms/resource/58/2512658_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2512658_image2_1.jpg,126.6514818,37.45139236,6,2.02302E+13,3,,대한민국 수준원점,22212
348,인천광역시 강화군 강화읍 관청길27번길 10,,2,0,A02,A0201,A02010900,128819,12,2.00603E+13,http://tong.visitkorea.or.kr/cms/resource/82/1579082_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/1579082_image3_1.jpg,126.4856637,37.74965749,6,2.02302E+13,1,,대한성공회 강화성당,23031
349,"인천광역시 연수구 송도국제대로 123, 2층",,2,,A04,A0401,A04011000,2927449,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/23/2882623_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2882623_image3_1.jpg,126.6579998,37.38280322,6,2.02212E+13,8,,대현 듀엘 현대송도,21984
350,"인천광역시 연수구 송도국제대로 123, 2층",,2,,A04,A0401,A04011000,2926803,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/16/2882616_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2882616_image3_1.jpg,126.6579998,37.38280322,6,2.02212E+13,8,,대현 모조에스핀 현대송도,21984
351,"인천광역시 연수구 송도국제대로 123, 2층",,2,,A04,A0401,A04011000,2928494,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/29/2882629_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2882629_image3_1.jpg,126.6579998,37.38280322,6,2.02212E+13,8,,대현 쥬크 현대송도,21984
352,인천광역시 강화군 해안동로 112-12,,2,,A05,A0502,A05020900,2872800,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/94/2872794_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2872794_image3_1.jpg,126.5296295,37.6369464,6,2.02302E+13,1,,더 라두,23049
353,인천광역시 중구 개항로 81 처갓집통닭,,2,,A05,A0502,A05020200,2810868,39,2.02203E+13,,,126.6314664,37.47200906,6,2.02205E+13,10,,더 비기닝,22318
354,인천광역시 중구 영종해안남로321번길 186,(운서동),2,0,A02,A0202,A02020300,2715100,12,2.02104E+13,,,126.4557445,37.43734611,6,2.02303E+13,10,,더 스파 앳 파라다이스,22382
355,인천광역시 계양구 봉오대로 446,,2,,A05,A0502,A05020100,2876152,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/51/2876151_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2876151_image3_1.jpg,126.6990448,37.52694276,6,2.02212E+13,2,,더꽃게,21104
356,인천광역시 서구 북항로206번길 50,,2,,A05,A0502,A05020100,2877568,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/59/2877559_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2877559_image3_1.jpg,126.6269603,37.50911578,6,2.0221E+13,7,,더담설렁탕,22853
357,인천시 연수구 송도국제대로 123B1층 현대프리미엄아울렛,,2,,A04,A0401,A04011000,2893864,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/90/2882490_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2882490_image3_1.jpg,126.6579998,37.38280322,6,2.02211E+13,8,,더바디샵_현대송도점,21984
358,인천광역시 강화군 길상면 보리고개로 187-5,,2,,A03,A0302,A03021700,2755743,28,2.0211E+13,http://tong.visitkorea.or.kr/cms/resource/18/2756518_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/2756518_image2_1.JPG,126.4872281,37.6275412,6,2.02211E+13,1,,더숲관광농원캠핑장,23051
359,인천광역시 중구 용유서로 379,,2,,A02,A0202,A02020200,2721496,32,2.02106E+13,http://tong.visitkorea.or.kr/cms/resource/72/2721672_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2721672_image2_1.jpg,126.3711713,37.45118192,6,2.02304E+13,10,,더위크앤리조트 (THE WEEK & RESORT),22383
360,인천광역시 강화군 내가면 강화서로227번길 91,,2,,A03,A0302,A03021700,2522131,28,2.01712E+13,http://tong.visitkorea.or.kr/cms/resource/17/2522117_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/17/2522117_image2_1.JPG,126.3805742,37.71753717,6,2.02207E+13,1,032-930-7056~7,덕산국민여가캠핑장,23018
361,인천광역시 옹진군 덕적면 문갑리,,2,0,A01,A0101,A01011300,2606297,12,2.01906E+13,,,126.1117804,37.17064058,6,2.02301E+13,9,,덕적군도,23132
362,인천광역시 옹진군 덕적면 덕적북로 130,,2,0,A01,A0101,A01011300,125504,12,2.00312E+13,http://tong.visitkorea.or.kr/cms/resource/02/2676402_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2676402_image2_1.jpg,126.1446675,37.2276262,6,2.02305E+13,9,,덕적도 갈대 군락지,23130
363,인천광역시 옹진군 덕적면,,2,0,A01,A0101,A01011200,2664745,12,2.02007E+13,http://tong.visitkorea.or.kr/cms/resource/65/2799665_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2799665_image2_1.jpg,126.1024452,37.27054827,6,2.02206E+13,9,,덕적도 능동자갈마당,23129
364,인천광역시 옹진군 덕적면,,2,0,A01,A0101,A01010400,2664734,12,2.02007E+13,http://tong.visitkorea.or.kr/cms/resource/45/2799645_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2799645_image2_1.jpg,126.1299135,37.21949078,6,2.0221E+13,9,,덕적도 비조봉,23130
365,인천광역시 연수구 송도국제대로 123,,2,,A04,A0401,A04011000,2928354,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/16/2882716_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2882716_image3_1.jpg,126.6579998,37.38280322,6,2.02212E+13,8,,데무 현대아울렛 송도점,21984
366,인천 연수구 국제대로123 2층,,2,,A04,A0401,A04011000,2925632,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/42/2882742_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2882742_image3_1.jpg,126.6579998,37.38280322,6,2.02211E+13,8,,데상트,21984
367,"인천광역시 연수구 청능대로 210, 2층 (등춘동)",,2,,A04,A0401,A04011000,2930714,38,2.0221E+13,,,126.6836357,37.40605098,6,2.02212E+13,8,,데상트 스퀘어원,21975
368,"인천광역시 중구 개항로 49(내동,1층)",,2,,A04,A0401,A04011000,2911327,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/69/2882769_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2882769_image3_1.jpg,126.6280445,37.47245895,6,2.02211E+13,10,,데상트 인천구월,22316
369,인천광역시 중구 신도시남로142번길 6,(운서동),2,,B02,B0201,B02010100,2594928,32,2.01904E+13,http://tong.visitkorea.or.kr/cms/resource/99/2594899_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2594899_image2_1.jpg,126.4912731,37.49348188,,2.02304E+13,10,"032-722-3000, 032-722-0002",데이즈 호텔 인천 에어포트 (데이즈 호텔 앤 스위트 인천 에어포트)[한국관광 품질인증/Korea Quality],22371
370,인천광역시 중구 용유서로 365,(을왕동),2,,B02,B0201,B02011100,2622996,32,2.0191E+13,,,126.372374,37.45072644,,2.02305E+13,10,010-5214-1249,델로스호스텔,22383
371,인천광역시 강화군 선원면 해안동로 1129-19,,2,0,A02,A0203,A02030100,2537187,12,2.01802E+13,http://tong.visitkorea.or.kr/cms/resource/49/2630949_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/49/2630949_image2_1.bmp,126.5091208,37.71520637,6,2.02205E+13,1,,도래미마을,23042
372,인천광역시 강화군 화도면 흥왕리,355-21,2,,A05,A0502,A05020900,2842377,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/62/2842362_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2842362_image3_1.jpg,126.4245705,37.60626202,6,2.02208E+13,1,,도레도레,23062
373,인천광역시 강화군 길상면 길상로210번길 52-71,,2,0,A02,A0206,A02060500,2657501,14,2.02005E+13,,,126.5064926,37.64199541,6,2.02205E+13,1,,도솔미술관,23049
374,인천광역시 옹진군 영흥면 영흥로757번길 147,,2,,B02,B0201,B02010700,696845,32,2.00902E+13,http://tong.visitkorea.or.kr/cms/resource/92/697492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/697492_image3_1.jpg,126.448647,37.26807121,6,2.02212E+13,9,032-886-0052,도자기마을펜션,23117
375,인천광역시 서구 청라커낼로223번길 5 다복,1층,2,,A05,A0502,A05020300,2841871,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/70/2841870_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2841870_image3_1.jpg,126.644097,37.52835273,6,2.02208E+13,7,,도톰카츠 청라점,22763
376,인천광역시 부평구 열우물로 59,(십정동),2,,A05,A0502,A05020100,2768148,39,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/35/2790235_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2790235_image2_1.jpg,126.6995963,37.4730407,6,2.02301E+13,6,,돈타래게장정식,21452
377,인천광역시 강화군 삼산북로 397-1,,2,,A03,A0302,A03021700,2908228,28,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/18/2908218_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2908218_image3_1.jpg,126.3282434,37.70125759,6,2.02302E+13,1,,돌담캠핑가든,23005
378,인천광역시 미추홀구 매소홀로 573,(문학동),2,0,A02,A0206,A02060600,1619338,14,2.01204E+13,http://tong.visitkorea.or.kr/cms/resource/40/1577640_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/1577640_image3_1.jpg,126.6857346,37.43879443,6,2.0221E+13,3,,돌체소극장,22233
379,인천광역시 강화군 길상면 동검길63번길 60,,2,0,A01,A0101,A01011300,2661510,12,2.02006E+13,http://tong.visitkorea.or.kr/cms/resource/07/2661507_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2661507_image2_1.jpg,126.5184012,37.59136263,6,2.02303E+13,1,,"동검도(나들길,캠핑,예술극장)",23053
380,인천광역시 강화군 길상면 동검길 159-13,,2,,A03,A0302,A03021700,2757627,28,2.0211E+13,http://tong.visitkorea.or.kr/cms/resource/83/2757683_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2757683_image2_1.JPG,126.5096271,37.5874657,6,2.02212E+13,1,,동검도노을캠핑장,23053
381,인천광역시 강화군 길상면 동검길65번길 93-6,,2,,A03,A0303,A03030600,2768071,28,2.02111E+13,,,126.5206206,37.58627437,6,2.02212E+13,1,,동검레저바다낚시,23053
382,인천광역시 강화군 길상면 동검길65번길 91-9,,2,0,A01,A0101,A01011400,2768096,12,2.02111E+13,,,126.5219593,37.58746592,6,2.02211E+13,1,,동검선착장,23053
383,인천광역시 미추홀구 독배로 473,,2,,A05,A0502,A05020400,2901227,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/21/2901221_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2901221_image3_1.jpg,126.6463209,37.4606162,6,2.02211E+13,3,,동락반점,22173
384,인천광역시 강화군 화도면 해안남로 1632,,2,,A05,A0502,A05020100,135816,39,2.00707E+13,http://tong.visitkorea.or.kr/cms/resource/42/218642_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/218642_image3_1.jpg,126.4421969,37.59636904,6,2.02207E+13,1,032-937-8876,동막돌솥촌,23062
385,인천광역시 미추홀구 독배로 403,(용현동),2,,A05,A0502,A05020100,602370,39,2.00808E+13,http://tong.visitkorea.or.kr/cms/resource/31/1884931_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1884931_image3_1.jpg,126.6495291,37.45590569,6,2.02302E+13,3,032-886-9595,동원물텀벙,22176
386,인천 동구 송현동 70-10,인천 동구 송현동 70-10,2,,A02,A0207,A02070200,2560781,15,2.01809E+13,http://tong.visitkorea.or.kr/cms/resource/56/2870956_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2870956_image3_1.jpg,126.6325329,37.47668076,6,2.02304E+13,5,032-899-7424,동인천 낭만시장,
387,인천광역시 중구 우현로67번길 57,(전동),2,0,A02,A0203,A02030400,735753,12,2.00905E+13,http://tong.visitkorea.or.kr/cms/resource/61/728361_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/728361_image3_1.jpg,126.6286721,37.47572247,6,2.02203E+13,10,,동인천 삼치거리,22316
388,인천광역시 동구 송현동 70-10,(송현동),2,0,A02,A0202,A02020700,2768117,12,2.02111E+13,,,126.6325329,37.47668076,6,2.02305E+13,5,,동인천역북광장,22550
389,인천광역시 연수구 송도국제대로 123,,2,,A04,A0401,A04011000,2931740,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/33/2882633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2882633_image3_1.jpg,126.6579998,37.38280322,6,2.02212E+13,8,,동일 라코스테 현대송도,21984
390,인천광역시 부평구 부평문화로 69-1 1층,,2,,A04,A0401,A04011000,2910430,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/29/2882429_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2882429_image3_1.jpg,126.7240407,37.49426922,6,2.02212E+13,6,,동일부평점,21393
391,인천광역시 연수구 동곡재로49번길 8,2층,2,,A05,A0502,A05020100,2833808,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/05/2833805_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2833805_image3_1.jpg,126.6716755,37.41386652,6,2.02208E+13,8,,동춘사골순대국 동춘점,21963
392,인천광역시 중구 용유서로479번길 16,(을왕동),2,,A05,A0502,A05020100,2768101,39,2.02111E+13,,,126.3704572,37.46165569,6,2.02212E+13,10,,동해막국수,22383
393,인천광역시 부평구 부평문화로 108,,2,,A05,A0502,A05020100,738108,39,2.00905E+13,http://tong.visitkorea.or.kr/cms/resource/84/740184_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/740184_image3_1.jpg,126.7282403,37.4940721,6,2.02302E+13,6,032-514-5649,동해해물탕,21396
394,인천광역시 중구 동화마을안길 9-1,,2,,A05,A0502,A05020700,2021925,39,2.01507E+13,http://tong.visitkorea.or.kr/cms/resource/77/1990477_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1990477_image3_1.jpg,126.6205728,37.47883307,6,2.02205E+13,10,032-761-1791,동화마을 돌고래피자,22311
395,"인천광역시 옹진군 백령면 백령로 (293, 인어궁)",,2,,A05,A0502,A05020100,2805413,39,2.02201E+13,,,124.7160739,37.97160144,6,2.02202E+13,9,,두메칼국수만두,23101
396,인천광역시 서구 두밀로 91,(대곡동),2,,A03,A0303,A03030500,2770372,28,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/40/2790240_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2790240_image2_1.jpg,126.6692614,37.6293692,6,2.02212E+13,7,,두밀촌낚시터,22600
397,인천시 연수구 송도국제대로 123(송도동)1층,,2,,A04,A0401,A04011000,2903212,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/96/2882496_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2882496_image3_1.jpg,126.6621993,37.3884332,6,2.02211E+13,8,,듀코_현대(아)송도_듀퐁,21996
398,인천시 연수구 송도국제대로 123,B1,2,,A04,A0401,A04011000,2903035,38,2.0221E+13,,,126.6579998,37.38280322,6,2.02211E+13,8,,듀코_현대(아)송도_빈치스,21984
399,인천시 연수구 송도국제대로 123(송도동)2층,,2,,A04,A0401,A04011000,2903148,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/95/2882495_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2882495_image3_1.jpg,126.6621993,37.3884332,6,2.02211E+13,8,,듀코_현대(아)송도_쟈딕,21996
400,인천광역시 연수구 송도과학로28번길 8 더샵 송도트리플타워 East,141호,2,,A05,A0502,A05020700,2913950,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/35/2913935_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2913935_image3_1.jpg,126.6606774,37.38251442,6,2.02211E+13,8,,드렁킨타이 송도점,21984
401,인천광역시 강화군 마니산로 106,,2,,A05,A0502,A05020900,2872824,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/13/2872813_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2872813_image3_1.JPG,126.4807228,37.63859535,6,2.0221E+13,1,,드리우니,23050
402,인천광역시 서구 봉수대로 1180,,2,,A05,A0502,A05020100,2833681,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/74/2833674_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2833674_image3_1.jpg,126.6625744,37.58188016,6,2.02208E+13,7,,드림나주곰탕,22687
403,인천광역시 서구 왕길동 581-15,,2,0,A02,A0202,A02020700,2767760,12,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/53/2780553_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/53/2780553_image2_1.png,126.6391626,37.58550433,6,2.02212E+13,7,,드림파크 주민체육공원,
404,인천광역시 서구 거월로 61,(백석동),2,,A03,A0302,A03020700,2768223,28,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/64/2788164_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2788164_image2_1.jpg,126.6481593,37.57328924,6,2.02211E+13,7,,드림파크CC,22688
405,인천광역시 강화군 길상면 해안동로 76,,2,,A05,A0502,A05020100,134974,39,2.00504E+13,http://tong.visitkorea.or.kr/cms/resource/25/1898925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/1898925_image3_1.jpg,126.5310433,37.63416898,,2.02301E+13,1,032-937-4000,등나무가든,23049
406,인천광역시 강화군 길상면 초지로 142,,2,,A05,A0502,A05020100,855276,39,2.00911E+13,http://tong.visitkorea.or.kr/cms/resource/32/1899032_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/1899032_image3_1.jpg,126.5332433,37.62843913,6,2.02302E+13,1,032-937-0749,등대숯불장어,23049
407,인천광역시 중구 개항로 39,,2,,A04,A0401,A04011000,2914561,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/68/2882768_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2882768_image3_1.jpg,126.6269696,37.47213674,6,2.02211E+13,10,,디스커버리 신포문화,22316
408,인천광역시 서구 완정로 70,(마전동),2,,A03,A0302,A03021800,2779988,28,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/45/2788845_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/45/2788845_image2_1.png,126.6673291,37.59806448,6,2.02207E+13,7,,디스커버리 클라이밍스퀘어ICN,22640
409,인천광역시 연수구 센트럴로 160 송도센트럴파크푸르지오,103동 C동 2층,2,,A05,A0502,A05020400,2899996,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/89/2899989_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2899989_image3_1.jpg,126.643737,37.39238242,6,2.02211E+13,8,,따룽훠궈 송도점,22003
410,인천광역시 서구 중봉대로612번길 10-16 마르씨엘,2층,2,,A05,A0502,A05020200,2843532,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/22/2843522_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2843522_image3_1.jpg,126.6516379,37.53343838,6,2.02208E+13,7,,뚝배기이탈리아,22736
411,인천광역시 강화군 삼산남로 827 뜰안에정원,,2,,A05,A0502,A05020100,2891613,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/33/2878033_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2878033_image3_1.jpg,126.317142,37.68548979,6,2.0221E+13,1,,뜰안에정원,23007
412,인천광역시 서구 청라루비로42번길 14,,2,,A05,A0502,A05020700,2843587,39,2.02208E+13,,,126.6420444,37.52877765,6,2.02209E+13,7,,띤뜨,22763
413,인천광역시 남동구 남동대로 465,,2,,A05,A0502,A05020900,2839396,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/83/2839383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2839383_image3_1.jpg,126.7081441,37.42476868,6,2.02208E+13,4,,라노비아 자동차카페,21622
414,인천광역시 서구 청라라임로 71 진영메디피아,,2,,A05,A0502,A05020200,2843547,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/41/2843541_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2843541_image3_1.jpg,126.6529155,37.53399945,6,2.02208E+13,7,,라라코스트 청라점,22736
415,인천광역시 강화군 화도면 해안남로2845번길 27,,2,,B02,B0201,B02010700,1747883,32,2.01211E+13,http://tong.visitkorea.or.kr/cms/resource/20/2594720_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2594720_image2_1.jpg,126.3910282,37.64084907,6,2.02304E+13,1,032-555-8868,라르고빌 [한국관광 품질인증/Korea Quality],23060
416,인천광역시 강화군 해안남로2845번길 27 라르고빌리조트,,2,,B02,B0201,B02010100,2593672,32,2.01903E+13,http://tong.visitkorea.or.kr/cms/resource/38/2594738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2594738_image2_1.jpg,126.3909948,37.64090184,6,2.02304E+13,1,032-555-8868,"라르고빌 웨이브하우스(웨이브하우스, 가든하우스) [한국관광 품질인증/Korea Quality]",23060
417,인천광역시 연수구 능허대로267번길 29,,2,,B02,B0201,B02010100,142801,32,2.00303E+13,http://tong.visitkorea.or.kr/cms/resource/75/1577575_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1577575_image3_1.jpg,126.6554242,37.41425508,6,2.02209E+13,8,032-832-2000,라마다송도호텔,21944
418,인천광역시 남동구 소래역로 36,,2,,B02,B0201,B02010100,2708337,32,2.02103E+13,http://tong.visitkorea.or.kr/cms/resource/69/2707769_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2707769_image3_1.jpg,126.7354589,37.40034144,,2.02304E+13,4,032-460-1100,라마다인천호텔 [한국관광 품질인증/Korea Quality],21673
419,인천광역시 남동구 성말로32번길 6-1,,2,,A05,A0502,A05020900,2861966,39,2.02209E+13,http://tong.visitkorea.or.kr/cms/resource/53/2861953_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2861953_image3_1.jpg,126.7039078,37.44507458,6,2.02303E+13,4,,라온,21575
420,인천광역시 중구 개항로 48,,2,,A04,A0401,A04011000,2926815,38,2.0221E+13,,,126.627914,37.47209788,6,2.02212E+13,10,,라코스테 신포문화,22322
421,인천광역시 중구 늘목로 38,(을왕동),2,,A03,A0302,A03021700,2733992,28,2.02108E+13,http://tong.visitkorea.or.kr/cms/resource/65/2734265_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/65/2734265_image2_1.JPG,126.395819,37.45420977,6,2.0221E+13,10,,락인뜰,22384
422,인천광역시 연수구 송도국제대로 123,,2,,A04,A0401,A04011000,2930515,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/21/2882721_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2882721_image3_1.jpg,126.6579998,37.38280322,6,2.02212E+13,8,,락포트 현대아울렛 송도점,21984
423,인천광역시 연수구 송도국제대로 123,,2,,A04,A0401,A04011000,2927735,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/03/2882703_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2882703_image3_1.jpg,126.6579998,37.38280322,6,2.02212E+13,8,,란스미어 현대아울렛 송도점,21984
424,인천광역시 연수구 송도국제대로 123,,2,,A04,A0401,A04011000,2904581,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/97/2882497_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2882497_image3_1.jpg,126.6579998,37.38280322,6,2.02211E+13,8,,랄프로렌_현대프리미엄아울렛송도점,21984
425,인천 서구 북항로32번안길50,,2,,A04,A0401,A04011000,2916160,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/69/2882869_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2882869_image3_1.jpg,126.6477389,37.5099716,6,2.02211E+13,7,,래배끌레,22769
426,인천광역시 연수구 청능대로 210,3F,2,,A04,A0401,A04011000,2915229,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/78/2882478_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2882478_image3_1.jpg,126.6836357,37.40605098,6,2.02212E+13,8,,래핑차일드 스퀘어원,21975
427,"인천광역시 연수구 송도국제대로 123, 1층",,2,,A04,A0401,A04011000,2912573,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/62/2882662_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2882662_image3_1.jpg,126.6579998,37.38280322,6,2.02211E+13,8,,러쉬 현대송도,21984
428,인천광역시 미추홀구 경인남길30번길 38,2층 러시아식당 바이칼,2,,A05,A0502,A05020200,2871084,39,2.0221E+13,,,126.6565036,37.45185629,6,2.0221E+13,3,,러시아식당 바이칼,22207
429,인천 연수구 송도과학로 16번길 33-4,"D동1층120호(송도동,송도트리플스트리트)",2,,A04,A0401,A04011000,2894044,38,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/72/2887772_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2887772_image3_1.jpg,126.662855,37.37871212,6,2.02212E+13,8,,럭스앤홀릭,21984
430,인천광역시 서구 경명대로 407,,2,,A05,A0502,A05020200,2876457,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/47/2876447_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2876447_image3_1.jpg,126.6533233,37.55308891,6,2.02212E+13,7,,레드크랩,22692
431,인천광역시 연수구 송도국제대로 123,,2,,A04,A0401,A04011000,2913360,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/35/2882535_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2882535_image3_1.jpg,126.6579998,37.38280322,6,2.02211E+13,8,,레이밴 현대송도,21984
432,인천광역시 서구 청라루비로42번길 5-21,,2,,A05,A0502,A05020400,2838539,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/35/2838535_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2838535_image3_1.jpg,126.6423388,37.52953034,6,2.02208E+13,7,,레이중화요리,22763
433,인천광역시 강화군 교동남로 35,,2,,C01,C0114,C01140001,2987551,25,2.02305E+13,http://tong.visitkorea.or.kr/cms/resource/46/2661846_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2661846_image2_1.jpg,126.2810594,37.78054474,6,2.02305E+13,1,,레트로 핫플레이스부터 최신 핫플레이스까지 뜨거운 핫 코스,23002
